Starting point,Destination,Number
"Hartford town (Hartford, CT)","Hartford town (Hartford, CT)",14661
"Hartford town (Hartford, CT)","West Hartford town (Hartford, CT)",2981
"Hartford town (Hartford, CT)","East Hartford town (Hartford, CT)",1949
"Hartford town (Hartford, CT)","Bloomfield town (Hartford, CT)",1854
"Hartford town (Hartford, CT)","Farmington town (Hartford, CT)",1680
"Hartford town (Hartford, CT)","Windsor town (Hartford, CT)",1433
"Hartford town (Hartford, CT)","Manchester town (Hartford, CT)",1404
"Hartford town (Hartford, CT)","New Britain town (Hartford, CT)",1104
"Hartford town (Hartford, CT)","Newington town (Hartford, CT)",1024
"Hartford town (Hartford, CT)","Rocky Hill town (Hartford, CT)",778
"Hartford town (Hartford, CT)","Wethersfield town (Hartford, CT)",752
"Hartford town (Hartford, CT)","Windsor Locks town (Hartford, CT)",715
"Hartford town (Hartford, CT)","Glastonbury town (Hartford, CT)",706
"Hartford town (Hartford, CT)","South Windsor town (Hartford, CT)",602
"Hartford town (Hartford, CT)","Middletown town (Middlesex, CT)",481
"Hartford town (Hartford, CT)","New Haven town (New Haven, CT)",416
"Hartford town (Hartford, CT)","East Windsor town (Hartford, CT)",405
"Hartford town (Hartford, CT)","Meriden town (New Haven, CT)",372
"Hartford town (Hartford, CT)","Waterbury town (New Haven, CT)",368
"Hartford town (Hartford, CT)","Berlin town (Hartford, CT)",364
"Hartford town (Hartford, CT)","Simsbury town (Hartford, CT)",346
"Hartford town (Hartford, CT)","Avon town (Hartford, CT)",309
"Hartford town (Hartford, CT)","Stamford town (Fairfield, CT)",296
"Hartford town (Hartford, CT)","Enfield town (Hartford, CT)",292
"Hartford town (Hartford, CT)","Bridgeport town (Fairfield, CT)",267
"Hartford town (Hartford, CT)","Cromwell town (Middlesex, CT)",253
"Hartford town (Hartford, CT)","Bristol town (Hartford, CT)",251
"Hartford town (Hartford, CT)","Danbury town (Fairfield, CT)",243
"Hartford town (Hartford, CT)","Westport town (Fairfield, CT)",238
"Hartford town (Hartford, CT)","Plainville town (Hartford, CT)",225
"Hartford town (Hartford, CT)","Wallingford town (New Haven, CT)",222
"Hartford town (Hartford, CT)","North Haven town (New Haven, CT)",214
"Hartford town (Hartford, CT)","Vernon town (Tolland, CT)",211
"Hartford town (Hartford, CT)","Norwalk town (Fairfield, CT)",193
"Hartford town (Hartford, CT)","Milford town (New Haven, CT)",189
"Hartford town (Hartford, CT)","East Granby town (Hartford, CT)",170
"Hartford town (Hartford, CT)","Shelton town (Fairfield, CT)",160
"Hartford town (Hartford, CT)","Manhattan borough (New York, NY)",158
"Hartford town (Hartford, CT)","Cheshire town (New Haven, CT)",150
"Hartford town (Hartford, CT)","Southington town (Hartford, CT)",142
"Hartford town (Hartford, CT)","Waterford town (New London, CT)",140
"Hartford town (Hartford, CT)","Hamden town (New Haven, CT)",135
"Hartford town (Hartford, CT)","Mansfield town (Tolland, CT)",135
"Hartford town (Hartford, CT)","Stratford town (Fairfield, CT)",130
"Hartford town (Hartford, CT)","Suffield town (Hartford, CT)",126
"Hartford town (Hartford, CT)","Trumbull town (Fairfield, CT)",115
"Hartford town (Hartford, CT)","Fairfield town (Fairfield, CT)",109
"Hartford town (Hartford, CT)","Orange town (New Haven, CT)",107
"Hartford town (Hartford, CT)","Greenwich town (Fairfield, CT)",98
"Hartford town (Hartford, CT)","Torrington town (Litchfield, CT)",97
"Hartford town (Hartford, CT)",All Other Locations,3000
"Avon town (Hartford, CT)","Hartford town (Hartford, CT)",1435
"Avon town (Hartford, CT)","Farmington town (Hartford, CT)",874
"Avon town (Hartford, CT)","Avon town (Hartford, CT)",738
"Avon town (Hartford, CT)","Simsbury town (Hartford, CT)",403
"Avon town (Hartford, CT)","West Hartford town (Hartford, CT)",402
"Avon town (Hartford, CT)","Bloomfield town (Hartford, CT)",288
"Avon town (Hartford, CT)","Bristol town (Hartford, CT)",287
"Avon town (Hartford, CT)","New Britain town (Hartford, CT)",282
"Avon town (Hartford, CT)","Windsor town (Hartford, CT)",243
"Avon town (Hartford, CT)","Canton town (Hartford, CT)",175
"Avon town (Hartford, CT)","East Hartford town (Hartford, CT)",150
"Avon town (Hartford, CT)","Plainville town (Hartford, CT)",114
"Avon town (Hartford, CT)","Newington town (Hartford, CT)",110
"Avon town (Hartford, CT)","Glastonbury town (Hartford, CT)",102
"Avon town (Hartford, CT)","Manchester town (Hartford, CT)",101
"Avon town (Hartford, CT)","Middletown town (Middlesex, CT)",91
"Avon town (Hartford, CT)","Berlin town (Hartford, CT)",88
"Avon town (Hartford, CT)","Rocky Hill town (Hartford, CT)",88
"Avon town (Hartford, CT)","Southington town (Hartford, CT)",74
"Avon town (Hartford, CT)","Torrington town (Litchfield, CT)",73
"Avon town (Hartford, CT)","Meriden town (New Haven, CT)",73
"Avon town (Hartford, CT)","New Haven town (New Haven, CT)",72
"Avon town (Hartford, CT)","Enfield town (Hartford, CT)",67
"Avon town (Hartford, CT)","Waterbury town (New Haven, CT)",65
"Avon town (Hartford, CT)","South Windsor town (Hartford, CT)",60
"Avon town (Hartford, CT)","Mansfield town (Tolland, CT)",55
"Avon town (Hartford, CT)","Danbury town (Fairfield, CT)",45
"Avon town (Hartford, CT)","Granby town (Hartford, CT)",39
"Avon town (Hartford, CT)","Wallingford town (New Haven, CT)",39
"Avon town (Hartford, CT)","Windsor Locks town (Hartford, CT)",38
"Avon town (Hartford, CT)","Cheshire town (New Haven, CT)",34
"Avon town (Hartford, CT)","Shelton town (Fairfield, CT)",32
"Avon town (Hartford, CT)","Vernon town (Tolland, CT)",29
"Avon town (Hartford, CT)","Trumbull town (Fairfield, CT)",28
"Avon town (Hartford, CT)","New Hartford town (Litchfield, CT)",28
"Avon town (Hartford, CT)","Hamden town (New Haven, CT)",28
"Avon town (Hartford, CT)","Burlington town (Hartford, CT)",25
"Avon town (Hartford, CT)","Cromwell town (Middlesex, CT)",25
"Avon town (Hartford, CT)","North Haven town (New Haven, CT)",25
"Avon town (Hartford, CT)","Milford town (New Haven, CT)",23
"Avon town (Hartford, CT)","East Granby town (Hartford, CT)",20
"Avon town (Hartford, CT)","Orange town (New Haven, CT)",19
"Avon town (Hartford, CT)","East Windsor town (Hartford, CT)",17
"Avon town (Hartford, CT)","Wethersfield town (Hartford, CT)",17
"Avon town (Hartford, CT)","Ellington town (Tolland, CT)",17
"Avon town (Hartford, CT)","New London town (New London, CT)",15
"Avon town (Hartford, CT)","Waterford town (New London, CT)",15
"Avon town (Hartford, CT)","Suffield town (Hartford, CT)",14
"Avon town (Hartford, CT)","Watertown town (Litchfield, CT)",13
"Avon town (Hartford, CT)","Winchester town (Litchfield, CT)",13
"Avon town (Hartford, CT)",All Other Locations,296
"Canton town (Hartford, CT)","Hartford town (Hartford, CT)",667
"Canton town (Hartford, CT)","Canton town (Hartford, CT)",504
"Canton town (Hartford, CT)","Farmington town (Hartford, CT)",430
"Canton town (Hartford, CT)","Simsbury town (Hartford, CT)",322
"Canton town (Hartford, CT)","Avon town (Hartford, CT)",313
"Canton town (Hartford, CT)","West Hartford town (Hartford, CT)",221
"Canton town (Hartford, CT)","Bloomfield town (Hartford, CT)",197
"Canton town (Hartford, CT)","Bristol town (Hartford, CT)",155
"Canton town (Hartford, CT)","Windsor town (Hartford, CT)",138
"Canton town (Hartford, CT)","New Britain town (Hartford, CT)",116
"Canton town (Hartford, CT)","Torrington town (Litchfield, CT)",111
"Canton town (Hartford, CT)","New Hartford town (Litchfield, CT)",93
"Canton town (Hartford, CT)","East Hartford town (Hartford, CT)",74
"Canton town (Hartford, CT)","Glastonbury town (Hartford, CT)",67
"Canton town (Hartford, CT)","Plainville town (Hartford, CT)",65
"Canton town (Hartford, CT)","Winchester town (Litchfield, CT)",63
"Canton town (Hartford, CT)","Southington town (Hartford, CT)",52
"Canton town (Hartford, CT)","Manchester town (Hartford, CT)",51
"Canton town (Hartford, CT)","Newington town (Hartford, CT)",42
"Canton town (Hartford, CT)","Enfield town (Hartford, CT)",39
"Canton town (Hartford, CT)","Waterbury town (New Haven, CT)",38
"Canton town (Hartford, CT)","Meriden town (New Haven, CT)",36
"Canton town (Hartford, CT)","Danbury town (Fairfield, CT)",34
"Canton town (Hartford, CT)","Middletown town (Middlesex, CT)",34
"Canton town (Hartford, CT)","New Haven town (New Haven, CT)",34
"Canton town (Hartford, CT)","East Granby town (Hartford, CT)",31
"Canton town (Hartford, CT)","Wethersfield town (Hartford, CT)",30
"Canton town (Hartford, CT)","Burlington town (Hartford, CT)",29
"Canton town (Hartford, CT)","Rocky Hill town (Hartford, CT)",29
"Canton town (Hartford, CT)","Granby town (Hartford, CT)",26
"Canton town (Hartford, CT)","Mansfield town (Tolland, CT)",26
"Canton town (Hartford, CT)","Berlin town (Hartford, CT)",25
"Canton town (Hartford, CT)","Windsor Locks town (Hartford, CT)",25
"Canton town (Hartford, CT)","Cheshire town (New Haven, CT)",22
"Canton town (Hartford, CT)","East Windsor town (Hartford, CT)",21
"Canton town (Hartford, CT)","South Windsor town (Hartford, CT)",20
"Canton town (Hartford, CT)","Wallingford town (New Haven, CT)",20
"Canton town (Hartford, CT)","Hamden town (New Haven, CT)",18
"Canton town (Hartford, CT)","North Haven town (New Haven, CT)",16
"Canton town (Hartford, CT)","Milford town (New Haven, CT)",14
"Canton town (Hartford, CT)","Trumbull town (Fairfield, CT)",13
"Canton town (Hartford, CT)","Stamford town (Fairfield, CT)",11
"Canton town (Hartford, CT)","Vernon town (Tolland, CT)",11
"Canton town (Hartford, CT)","Shelton town (Fairfield, CT)",10
"Canton town (Hartford, CT)","Barkhamsted town (Litchfield, CT)",10
"Canton town (Hartford, CT)","Watertown town (Litchfield, CT)",10
"Canton town (Hartford, CT)","West Haven town (New Haven, CT)",10
"Canton town (Hartford, CT)","Thomaston town (Litchfield, CT)",9
"Canton town (Hartford, CT)","Portland town (Middlesex, CT)",9
"Canton town (Hartford, CT)","Ellington town (Tolland, CT)",9
"Canton town (Hartford, CT)",All Other Locations,266
"Andover town (Tolland, CT)","Hartford town (Hartford, CT)",252
"Andover town (Tolland, CT)","Manchester town (Hartford, CT)",215
"Andover town (Tolland, CT)","East Hartford town (Hartford, CT)",98
"Andover town (Tolland, CT)","Andover town (Tolland, CT)",75
"Andover town (Tolland, CT)","Hebron town (Tolland, CT)",75
"Andover town (Tolland, CT)","Mansfield town (Tolland, CT)",72
"Andover town (Tolland, CT)","Glastonbury town (Hartford, CT)",65
"Andover town (Tolland, CT)","Windham town (Windham, CT)",65
"Andover town (Tolland, CT)","South Windsor town (Hartford, CT)",48
"Andover town (Tolland, CT)","Bolton town (Tolland, CT)",41
"Andover town (Tolland, CT)","Farmington town (Hartford, CT)",39
"Andover town (Tolland, CT)","West Hartford town (Hartford, CT)",34
"Andover town (Tolland, CT)","Bloomfield town (Hartford, CT)",31
"Andover town (Tolland, CT)","Newington town (Hartford, CT)",31
"Andover town (Tolland, CT)","Rocky Hill town (Hartford, CT)",30
"Andover town (Tolland, CT)","Windsor town (Hartford, CT)",29
"Andover town (Tolland, CT)","Vernon town (Tolland, CT)",27
"Andover town (Tolland, CT)","Tolland town (Tolland, CT)",26
"Andover town (Tolland, CT)","Enfield town (Hartford, CT)",25
"Andover town (Tolland, CT)","Stamford town (Fairfield, CT)",23
"Andover town (Tolland, CT)","Norwich town (New London, CT)",23
"Andover town (Tolland, CT)","Danbury town (Fairfield, CT)",21
"Andover town (Tolland, CT)","Columbia town (Tolland, CT)",21
"Andover town (Tolland, CT)","Coventry town (Tolland, CT)",21
"Andover town (Tolland, CT)","New Britain town (Hartford, CT)",19
"Andover town (Tolland, CT)","Lebanon town (New London, CT)",19
"Andover town (Tolland, CT)","Manhattan borough (New York, NY)",19
"Andover town (Tolland, CT)","Middletown town (Middlesex, CT)",18
"Andover town (Tolland, CT)","Norwalk town (Fairfield, CT)",16
"Andover town (Tolland, CT)","Wethersfield town (Hartford, CT)",15
"Andover town (Tolland, CT)","Colchester town (New London, CT)",15
"Andover town (Tolland, CT)","Killingly town (Windham, CT)",15
"Andover town (Tolland, CT)","Marlborough town (Hartford, CT)",14
"Andover town (Tolland, CT)","Putnam town (Windham, CT)",13
"Andover town (Tolland, CT)","Berlin town (Hartford, CT)",12
"Andover town (Tolland, CT)","Windsor Locks town (Hartford, CT)",12
"Andover town (Tolland, CT)","Fairfield town (Fairfield, CT)",11
"Andover town (Tolland, CT)","Bridgeport town (Fairfield, CT)",10
"Andover town (Tolland, CT)","Simsbury town (Hartford, CT)",10
"Andover town (Tolland, CT)","Bristol town (Hartford, CT)",9
"Andover town (Tolland, CT)","Trumbull town (Fairfield, CT)",8
"Andover town (Tolland, CT)","Avon town (Hartford, CT)",8
"Andover town (Tolland, CT)","Cromwell town (Middlesex, CT)",8
"Andover town (Tolland, CT)","Milford town (New Haven, CT)",8
"Andover town (Tolland, CT)","Stratford town (Fairfield, CT)",7
"Andover town (Tolland, CT)","Meriden town (New Haven, CT)",7
"Andover town (Tolland, CT)","Ellington town (Tolland, CT)",7
"Andover town (Tolland, CT)","Greenwich town (Fairfield, CT)",6
"Andover town (Tolland, CT)","East Haddam town (Middlesex, CT)",6
"Andover town (Tolland, CT)","Portland town (Middlesex, CT)",6
"Andover town (Tolland, CT)",All Other Locations,227
"Bloomfield town (Hartford, CT)","Hartford town (Hartford, CT)",2752
"Bloomfield town (Hartford, CT)","Bloomfield town (Hartford, CT)",1117
"Bloomfield town (Hartford, CT)","West Hartford town (Hartford, CT)",828
"Bloomfield town (Hartford, CT)","Windsor town (Hartford, CT)",511
"Bloomfield town (Hartford, CT)","East Hartford town (Hartford, CT)",490
"Bloomfield town (Hartford, CT)","Farmington town (Hartford, CT)",408
"Bloomfield town (Hartford, CT)","Manchester town (Hartford, CT)",304
"Bloomfield town (Hartford, CT)","New Britain town (Hartford, CT)",195
"Bloomfield town (Hartford, CT)","Simsbury town (Hartford, CT)",190
"Bloomfield town (Hartford, CT)","East Windsor town (Hartford, CT)",146
"Bloomfield town (Hartford, CT)","Newington town (Hartford, CT)",143
"Bloomfield town (Hartford, CT)","Windsor Locks town (Hartford, CT)",134
"Bloomfield town (Hartford, CT)","Middletown town (Middlesex, CT)",134
"Bloomfield town (Hartford, CT)","Rocky Hill town (Hartford, CT)",131
"Bloomfield town (Hartford, CT)","Glastonbury town (Hartford, CT)",129
"Bloomfield town (Hartford, CT)","Enfield town (Hartford, CT)",126
"Bloomfield town (Hartford, CT)","Wethersfield town (Hartford, CT)",126
"Bloomfield town (Hartford, CT)","Avon town (Hartford, CT)",114
"Bloomfield town (Hartford, CT)","New Haven town (New Haven, CT)",109
"Bloomfield town (Hartford, CT)","South Windsor town (Hartford, CT)",106
"Bloomfield town (Hartford, CT)","Stamford town (Fairfield, CT)",101
"Bloomfield town (Hartford, CT)","Norwalk town (Fairfield, CT)",86
"Bloomfield town (Hartford, CT)","Bristol town (Hartford, CT)",85
"Bloomfield town (Hartford, CT)","Berlin town (Hartford, CT)",83
"Bloomfield town (Hartford, CT)","Waterbury town (New Haven, CT)",82
"Bloomfield town (Hartford, CT)","Manhattan borough (New York, NY)",76
"Bloomfield town (Hartford, CT)","East Granby town (Hartford, CT)",75
"Bloomfield town (Hartford, CT)","Bridgeport town (Fairfield, CT)",70
"Bloomfield town (Hartford, CT)","Meriden town (New Haven, CT)",70
"Bloomfield town (Hartford, CT)","Vernon town (Tolland, CT)",60
"Bloomfield town (Hartford, CT)","Cromwell town (Middlesex, CT)",55
"Bloomfield town (Hartford, CT)","Cheshire town (New Haven, CT)",52
"Bloomfield town (Hartford, CT)","Plainville town (Hartford, CT)",50
"Bloomfield town (Hartford, CT)","Stratford town (Fairfield, CT)",47
"Bloomfield town (Hartford, CT)","Southington town (Hartford, CT)",46
"Bloomfield town (Hartford, CT)","Mansfield town (Tolland, CT)",46
"Bloomfield town (Hartford, CT)","Fairfield town (Fairfield, CT)",44
"Bloomfield town (Hartford, CT)","Torrington town (Litchfield, CT)",44
"Bloomfield town (Hartford, CT)","Wallingford town (New Haven, CT)",42
"Bloomfield town (Hartford, CT)","Granby town (Hartford, CT)",40
"Bloomfield town (Hartford, CT)","Danbury town (Fairfield, CT)",39
"Bloomfield town (Hartford, CT)","Greenwich town (Fairfield, CT)",39
"Bloomfield town (Hartford, CT)","Westport town (Fairfield, CT)",35
"Bloomfield town (Hartford, CT)","Hamden town (New Haven, CT)",35
"Bloomfield town (Hartford, CT)","Suffield town (Hartford, CT)",32
"Bloomfield town (Hartford, CT)","North Haven town (New Haven, CT)",31
"Bloomfield town (Hartford, CT)","Shelton town (Fairfield, CT)",30
"Bloomfield town (Hartford, CT)","Trumbull town (Fairfield, CT)",25
"Bloomfield town (Hartford, CT)","Milford town (New Haven, CT)",25
"Bloomfield town (Hartford, CT)","Waterford town (New London, CT)",22
"Bloomfield town (Hartford, CT)",All Other Locations,845
"Bolton town (Tolland, CT)","Hartford town (Hartford, CT)",425
"Bolton town (Tolland, CT)","Manchester town (Hartford, CT)",370
"Bolton town (Tolland, CT)","East Hartford town (Hartford, CT)",193
"Bolton town (Tolland, CT)","Bolton town (Tolland, CT)",188
"Bolton town (Tolland, CT)","Glastonbury town (Hartford, CT)",106
"Bolton town (Tolland, CT)","Vernon town (Tolland, CT)",95
"Bolton town (Tolland, CT)","South Windsor town (Hartford, CT)",73
"Bolton town (Tolland, CT)","Bloomfield town (Hartford, CT)",60
"Bolton town (Tolland, CT)","Farmington town (Hartford, CT)",60
"Bolton town (Tolland, CT)","Windsor town (Hartford, CT)",55
"Bolton town (Tolland, CT)","West Hartford town (Hartford, CT)",53
"Bolton town (Tolland, CT)","Newington town (Hartford, CT)",47
"Bolton town (Tolland, CT)","Windham town (Windham, CT)",43
"Bolton town (Tolland, CT)","Middletown town (Middlesex, CT)",40
"Bolton town (Tolland, CT)","Mansfield town (Tolland, CT)",39
"Bolton town (Tolland, CT)","Stamford town (Fairfield, CT)",35
"Bolton town (Tolland, CT)","Tolland town (Tolland, CT)",34
"Bolton town (Tolland, CT)","Rocky Hill town (Hartford, CT)",29
"Bolton town (Tolland, CT)","Enfield town (Hartford, CT)",27
"Bolton town (Tolland, CT)","Danbury town (Fairfield, CT)",26
"Bolton town (Tolland, CT)","Manhattan borough (New York, NY)",25
"Bolton town (Tolland, CT)","Norwalk town (Fairfield, CT)",24
"Bolton town (Tolland, CT)","New Britain town (Hartford, CT)",23
"Bolton town (Tolland, CT)","East Windsor town (Hartford, CT)",22
"Bolton town (Tolland, CT)","Ellington town (Tolland, CT)",21
"Bolton town (Tolland, CT)","Wethersfield town (Hartford, CT)",20
"Bolton town (Tolland, CT)","Hebron town (Tolland, CT)",20
"Bolton town (Tolland, CT)","Bridgeport town (Fairfield, CT)",19
"Bolton town (Tolland, CT)","Trumbull town (Fairfield, CT)",17
"Bolton town (Tolland, CT)","Simsbury town (Hartford, CT)",16
"Bolton town (Tolland, CT)","Coventry town (Tolland, CT)",14
"Bolton town (Tolland, CT)","Avon town (Hartford, CT)",13
"Bolton town (Tolland, CT)","Wallingford town (New Haven, CT)",13
"Bolton town (Tolland, CT)","Berlin town (Hartford, CT)",12
"Bolton town (Tolland, CT)","Windsor Locks town (Hartford, CT)",12
"Bolton town (Tolland, CT)","Milford town (New Haven, CT)",12
"Bolton town (Tolland, CT)","Willington town (Tolland, CT)",12
"Bolton town (Tolland, CT)","East Granby town (Hartford, CT)",11
"Bolton town (Tolland, CT)","Norwich town (New London, CT)",11
"Bolton town (Tolland, CT)","Westport town (Fairfield, CT)",10
"Bolton town (Tolland, CT)","Bristol town (Hartford, CT)",10
"Bolton town (Tolland, CT)","Meriden town (New Haven, CT)",10
"Bolton town (Tolland, CT)","New Haven town (New Haven, CT)",10
"Bolton town (Tolland, CT)","Stratford town (Fairfield, CT)",9
"Bolton town (Tolland, CT)","Plainville town (Hartford, CT)",9
"Bolton town (Tolland, CT)","Colchester town (New London, CT)",9
"Bolton town (Tolland, CT)","Andover town (Tolland, CT)",9
"Bolton town (Tolland, CT)","Suffield town (Hartford, CT)",8
"Bolton town (Tolland, CT)","Cromwell town (Middlesex, CT)",8
"Bolton town (Tolland, CT)","Somers town (Tolland, CT)",8
"Bolton town (Tolland, CT)",All Other Locations,311
"East Granby town (Hartford, CT)","Hartford town (Hartford, CT)",406
"East Granby town (Hartford, CT)","Windsor town (Hartford, CT)",212
"East Granby town (Hartford, CT)","East Granby town (Hartford, CT)",207
"East Granby town (Hartford, CT)","Bloomfield town (Hartford, CT)",193
"East Granby town (Hartford, CT)","Simsbury town (Hartford, CT)",187
"East Granby town (Hartford, CT)","West Hartford town (Hartford, CT)",112
"East Granby town (Hartford, CT)","Farmington town (Hartford, CT)",105
"East Granby town (Hartford, CT)","Enfield town (Hartford, CT)",95
"East Granby town (Hartford, CT)","East Hartford town (Hartford, CT)",71
"East Granby town (Hartford, CT)","Granby town (Hartford, CT)",70
"East Granby town (Hartford, CT)","Windsor Locks town (Hartford, CT)",67
"East Granby town (Hartford, CT)","Manchester town (Hartford, CT)",56
"East Granby town (Hartford, CT)","Avon town (Hartford, CT)",49
"East Granby town (Hartford, CT)","Glastonbury town (Hartford, CT)",43
"East Granby town (Hartford, CT)","Stamford town (Fairfield, CT)",39
"East Granby town (Hartford, CT)","East Windsor town (Hartford, CT)",39
"East Granby town (Hartford, CT)","Manhattan borough (New York, NY)",38
"East Granby town (Hartford, CT)","Suffield town (Hartford, CT)",36
"East Granby town (Hartford, CT)","Norwalk town (Fairfield, CT)",32
"East Granby town (Hartford, CT)","Rocky Hill town (Hartford, CT)",31
"East Granby town (Hartford, CT)","South Windsor town (Hartford, CT)",30
"East Granby town (Hartford, CT)","Bridgeport town (Fairfield, CT)",23
"East Granby town (Hartford, CT)","New Britain town (Hartford, CT)",23
"East Granby town (Hartford, CT)","Vernon town (Tolland, CT)",23
"East Granby town (Hartford, CT)","Newington town (Hartford, CT)",20
"East Granby town (Hartford, CT)","Wethersfield town (Hartford, CT)",20
"East Granby town (Hartford, CT)","Plainville town (Hartford, CT)",17
"East Granby town (Hartford, CT)","Berlin town (Hartford, CT)",15
"East Granby town (Hartford, CT)","Bristol town (Hartford, CT)",15
"East Granby town (Hartford, CT)","Middletown town (Middlesex, CT)",15
"East Granby town (Hartford, CT)","New Haven town (New Haven, CT)",15
"East Granby town (Hartford, CT)","Greenwich town (Fairfield, CT)",13
"East Granby town (Hartford, CT)","Westport town (Fairfield, CT)",13
"East Granby town (Hartford, CT)","Meriden town (New Haven, CT)",13
"East Granby town (Hartford, CT)","Wallingford town (New Haven, CT)",13
"East Granby town (Hartford, CT)","Milford town (New Haven, CT)",12
"East Granby town (Hartford, CT)","Waterbury town (New Haven, CT)",12
"East Granby town (Hartford, CT)","Stratford town (Fairfield, CT)",11
"East Granby town (Hartford, CT)","Shelton town (Fairfield, CT)",9
"East Granby town (Hartford, CT)","Cheshire town (New Haven, CT)",9
"East Granby town (Hartford, CT)","Ellington town (Tolland, CT)",9
"East Granby town (Hartford, CT)","Fairfield town (Fairfield, CT)",8
"East Granby town (Hartford, CT)","Canton town (Hartford, CT)",8
"East Granby town (Hartford, CT)","Danbury town (Fairfield, CT)",7
"East Granby town (Hartford, CT)","Winchester town (Litchfield, CT)",7
"East Granby town (Hartford, CT)","Hamden town (New Haven, CT)",7
"East Granby town (Hartford, CT)","North Haven town (New Haven, CT)",7
"East Granby town (Hartford, CT)","Orange town (New Haven, CT)",7
"East Granby town (Hartford, CT)","Ridgefield town (Fairfield, CT)",6
"East Granby town (Hartford, CT)","Trumbull town (Fairfield, CT)",6
"East Granby town (Hartford, CT)",All Other Locations,257
"East Hartford town (Hartford, CT)","Hartford town (Hartford, CT)",5174
"East Hartford town (Hartford, CT)","East Hartford town (Hartford, CT)",3216
"East Hartford town (Hartford, CT)","Manchester town (Hartford, CT)",1849
"East Hartford town (Hartford, CT)","Glastonbury town (Hartford, CT)",987
"East Hartford town (Hartford, CT)","West Hartford town (Hartford, CT)",934
"East Hartford town (Hartford, CT)","South Windsor town (Hartford, CT)",798
"East Hartford town (Hartford, CT)","Windsor town (Hartford, CT)",785
"East Hartford town (Hartford, CT)","Farmington town (Hartford, CT)",765
"East Hartford town (Hartford, CT)","Bloomfield town (Hartford, CT)",728
"East Hartford town (Hartford, CT)","Newington town (Hartford, CT)",511
"East Hartford town (Hartford, CT)","Rocky Hill town (Hartford, CT)",468
"East Hartford town (Hartford, CT)","Vernon town (Tolland, CT)",416
"East Hartford town (Hartford, CT)","Wethersfield town (Hartford, CT)",398
"East Hartford town (Hartford, CT)","New Britain town (Hartford, CT)",358
"East Hartford town (Hartford, CT)","Middletown town (Middlesex, CT)",351
"East Hartford town (Hartford, CT)","Westport town (Fairfield, CT)",349
"East Hartford town (Hartford, CT)","Stamford town (Fairfield, CT)",346
"East Hartford town (Hartford, CT)","East Windsor town (Hartford, CT)",286
"East Hartford town (Hartford, CT)","Enfield town (Hartford, CT)",277
