Starting point,Destination,Number
"South Windsor town (Hartford, CT)","Shelton town (Fairfield, CT)",34
"South Windsor town (Hartford, CT)","Milford town (New Haven, CT)",31
"South Windsor town (Hartford, CT)","Willington town (Tolland, CT)",30
"South Windsor town (Hartford, CT)","Norwich town (New London, CT)",29
"South Windsor town (Hartford, CT)","Bolton town (Tolland, CT)",29
"South Windsor town (Hartford, CT)","Windham town (Windham, CT)",29
"South Windsor town (Hartford, CT)","Hamden town (New Haven, CT)",28
"South Windsor town (Hartford, CT)","New London town (New London, CT)",24
"South Windsor town (Hartford, CT)","Hebron town (Tolland, CT)",23
"South Windsor town (Hartford, CT)","Waterford town (New London, CT)",22
"South Windsor town (Hartford, CT)",All Other Locations,480
"Suffield town (Hartford, CT)","Hartford town (Hartford, CT)",757
"Suffield town (Hartford, CT)","Suffield town (Hartford, CT)",616
"Suffield town (Hartford, CT)","Windsor town (Hartford, CT)",553
"Suffield town (Hartford, CT)","Enfield town (Hartford, CT)",525
"Suffield town (Hartford, CT)","Windsor Locks town (Hartford, CT)",349
"Suffield town (Hartford, CT)","Bloomfield town (Hartford, CT)",234
"Suffield town (Hartford, CT)","East Hartford town (Hartford, CT)",155
"Suffield town (Hartford, CT)","Farmington town (Hartford, CT)",146
"Suffield town (Hartford, CT)","West Hartford town (Hartford, CT)",142
"Suffield town (Hartford, CT)","East Windsor town (Hartford, CT)",140
"Suffield town (Hartford, CT)","Simsbury town (Hartford, CT)",140
"Suffield town (Hartford, CT)","East Granby town (Hartford, CT)",122
"Suffield town (Hartford, CT)","South Windsor town (Hartford, CT)",118
"Suffield town (Hartford, CT)","Manchester town (Hartford, CT)",113
"Suffield town (Hartford, CT)","Glastonbury town (Hartford, CT)",71
"Suffield town (Hartford, CT)","New Britain town (Hartford, CT)",61
"Suffield town (Hartford, CT)","Granby town (Hartford, CT)",58
"Suffield town (Hartford, CT)","Waterbury town (New Haven, CT)",55
"Suffield town (Hartford, CT)","Newington town (Hartford, CT)",54
"Suffield town (Hartford, CT)","Avon town (Hartford, CT)",47
"Suffield town (Hartford, CT)","Meriden town (New Haven, CT)",47
"Suffield town (Hartford, CT)","Middletown town (Middlesex, CT)",46
"Suffield town (Hartford, CT)","Wallingford town (New Haven, CT)",44
"Suffield town (Hartford, CT)","Vernon town (Tolland, CT)",42
"Suffield town (Hartford, CT)","Bristol town (Hartford, CT)",41
"Suffield town (Hartford, CT)","Somers town (Tolland, CT)",40
"Suffield town (Hartford, CT)","Stafford town (Tolland, CT)",35
"Suffield town (Hartford, CT)","Rocky Hill town (Hartford, CT)",34
"Suffield town (Hartford, CT)","New Haven town (New Haven, CT)",34
"Suffield town (Hartford, CT)","Mansfield town (Tolland, CT)",34
"Suffield town (Hartford, CT)","Wethersfield town (Hartford, CT)",32
"Suffield town (Hartford, CT)","Danbury town (Fairfield, CT)",26
"Suffield town (Hartford, CT)","Southington town (Hartford, CT)",24
"Suffield town (Hartford, CT)","Milford town (New Haven, CT)",23
"Suffield town (Hartford, CT)","North Haven town (New Haven, CT)",22
"Suffield town (Hartford, CT)","Windham town (Windham, CT)",21
"Suffield town (Hartford, CT)","Torrington town (Litchfield, CT)",20
"Suffield town (Hartford, CT)","Hamden town (New Haven, CT)",20
"Suffield town (Hartford, CT)","Berlin town (Hartford, CT)",19
"Suffield town (Hartford, CT)","Shelton town (Fairfield, CT)",17
"Suffield town (Hartford, CT)","Canton town (Hartford, CT)",17
"Suffield town (Hartford, CT)","Cheshire town (New Haven, CT)",17
"Suffield town (Hartford, CT)","Plainville town (Hartford, CT)",16
"Suffield town (Hartford, CT)","Waterford town (New London, CT)",16
"Suffield town (Hartford, CT)","Stratford town (Fairfield, CT)",14
"Suffield town (Hartford, CT)","Orange town (New Haven, CT)",14
"Suffield town (Hartford, CT)","New London town (New London, CT)",14
"Suffield town (Hartford, CT)","Watertown town (Litchfield, CT)",13
"Suffield town (Hartford, CT)","Norwich town (New London, CT)",12
"Suffield town (Hartford, CT)","New Hartford town (Litchfield, CT)",11
"Suffield town (Hartford, CT)",All Other Locations,303
"Tolland town (Tolland, CT)","Hartford town (Hartford, CT)",1116
"Tolland town (Tolland, CT)","Tolland town (Tolland, CT)",741
"Tolland town (Tolland, CT)","Manchester town (Hartford, CT)",562
"Tolland town (Tolland, CT)","Vernon town (Tolland, CT)",516
"Tolland town (Tolland, CT)","East Hartford town (Hartford, CT)",496
"Tolland town (Tolland, CT)","Mansfield town (Tolland, CT)",327
"Tolland town (Tolland, CT)","Windsor town (Hartford, CT)",238
"Tolland town (Tolland, CT)","South Windsor town (Hartford, CT)",212
"Tolland town (Tolland, CT)","Stafford town (Tolland, CT)",172
"Tolland town (Tolland, CT)","Enfield town (Hartford, CT)",160
"Tolland town (Tolland, CT)","Bloomfield town (Hartford, CT)",155
"Tolland town (Tolland, CT)","Farmington town (Hartford, CT)",152
"Tolland town (Tolland, CT)","Glastonbury town (Hartford, CT)",144
"Tolland town (Tolland, CT)","Ellington town (Tolland, CT)",138
"Tolland town (Tolland, CT)","West Hartford town (Hartford, CT)",124
"Tolland town (Tolland, CT)","Middletown town (Middlesex, CT)",109
"Tolland town (Tolland, CT)","Willington town (Tolland, CT)",101
"Tolland town (Tolland, CT)","Windham town (Windham, CT)",99
"Tolland town (Tolland, CT)","East Windsor town (Hartford, CT)",91
"Tolland town (Tolland, CT)","Rocky Hill town (Hartford, CT)",78
"Tolland town (Tolland, CT)","Newington town (Hartford, CT)",77
"Tolland town (Tolland, CT)","Windsor Locks town (Hartford, CT)",65
"Tolland town (Tolland, CT)","Simsbury town (Hartford, CT)",59
"Tolland town (Tolland, CT)","Wethersfield town (Hartford, CT)",56
"Tolland town (Tolland, CT)","Berlin town (Hartford, CT)",46
"Tolland town (Tolland, CT)","New Haven town (New Haven, CT)",46
"Tolland town (Tolland, CT)","New Britain town (Hartford, CT)",42
"Tolland town (Tolland, CT)","Norwich town (New London, CT)",42
"Tolland town (Tolland, CT)","Meriden town (New Haven, CT)",40
"Tolland town (Tolland, CT)","Coventry town (Tolland, CT)",39
"Tolland town (Tolland, CT)","Wallingford town (New Haven, CT)",37
"Tolland town (Tolland, CT)","Bolton town (Tolland, CT)",37
"Tolland town (Tolland, CT)","Waterbury town (New Haven, CT)",36
"Tolland town (Tolland, CT)","Avon town (Hartford, CT)",33
"Tolland town (Tolland, CT)","Bristol town (Hartford, CT)",30
"Tolland town (Tolland, CT)","Montville town (New London, CT)",26
"Tolland town (Tolland, CT)","Killingly town (Windham, CT)",25
"Tolland town (Tolland, CT)","Putnam town (Windham, CT)",25
"Tolland town (Tolland, CT)","Plainville town (Hartford, CT)",23
"Tolland town (Tolland, CT)","Waterford town (New London, CT)",23
"Tolland town (Tolland, CT)","Somers town (Tolland, CT)",23
"Tolland town (Tolland, CT)","Suffield town (Hartford, CT)",21
"Tolland town (Tolland, CT)","Cheshire town (New Haven, CT)",20
"Tolland town (Tolland, CT)","Hamden town (New Haven, CT)",20
"Tolland town (Tolland, CT)","East Granby town (Hartford, CT)",19
"Tolland town (Tolland, CT)","Cromwell town (Middlesex, CT)",17
"Tolland town (Tolland, CT)","Milford town (New Haven, CT)",17
"Tolland town (Tolland, CT)","Colchester town (New London, CT)",17
"Tolland town (Tolland, CT)","Southington town (Hartford, CT)",16
"Tolland town (Tolland, CT)","Groton town (New London, CT)",16
"Tolland town (Tolland, CT)",All Other Locations,305
"Vernon town (Tolland, CT)","Vernon town (Tolland, CT)",2029
"Vernon town (Tolland, CT)","Hartford town (Hartford, CT)",1948
"Vernon town (Tolland, CT)","Manchester town (Hartford, CT)",1570
"Vernon town (Tolland, CT)","East Hartford town (Hartford, CT)",979
"Vernon town (Tolland, CT)","South Windsor town (Hartford, CT)",618
"Vernon town (Tolland, CT)","Windsor town (Hartford, CT)",487
"Vernon town (Tolland, CT)","Farmington town (Hartford, CT)",362
"Vernon town (Tolland, CT)","Glastonbury town (Hartford, CT)",361
"Vernon town (Tolland, CT)","Tolland town (Tolland, CT)",353
"Vernon town (Tolland, CT)","Enfield town (Hartford, CT)",329
"Vernon town (Tolland, CT)","Ellington town (Tolland, CT)",327
"Vernon town (Tolland, CT)","West Hartford town (Hartford, CT)",304
"Vernon town (Tolland, CT)","Mansfield town (Tolland, CT)",291
"Vernon town (Tolland, CT)","Bloomfield town (Hartford, CT)",246
"Vernon town (Tolland, CT)","Middletown town (Middlesex, CT)",224
"Vernon town (Tolland, CT)","East Windsor town (Hartford, CT)",222
"Vernon town (Tolland, CT)","Newington town (Hartford, CT)",206
"Vernon town (Tolland, CT)","Rocky Hill town (Hartford, CT)",195
"Vernon town (Tolland, CT)","Stamford town (Fairfield, CT)",170
"Vernon town (Tolland, CT)","Stafford town (Tolland, CT)",156
"Vernon town (Tolland, CT)","Windham town (Windham, CT)",145
"Vernon town (Tolland, CT)","Windsor Locks town (Hartford, CT)",137
"Vernon town (Tolland, CT)","Norwalk town (Fairfield, CT)",134
"Vernon town (Tolland, CT)","Danbury town (Fairfield, CT)",127
"Vernon town (Tolland, CT)","Manhattan borough (New York, NY)",126
"Vernon town (Tolland, CT)","Bridgeport town (Fairfield, CT)",125
"Vernon town (Tolland, CT)","New Britain town (Hartford, CT)",125
"Vernon town (Tolland, CT)","Wethersfield town (Hartford, CT)",121
"Vernon town (Tolland, CT)","Simsbury town (Hartford, CT)",117
"Vernon town (Tolland, CT)","Berlin town (Hartford, CT)",99
"Vernon town (Tolland, CT)","Bolton town (Tolland, CT)",97
"Vernon town (Tolland, CT)","Trumbull town (Fairfield, CT)",84
"Vernon town (Tolland, CT)","New Haven town (New Haven, CT)",84
"Vernon town (Tolland, CT)","Willington town (Tolland, CT)",82
"Vernon town (Tolland, CT)","Avon town (Hartford, CT)",79
"Vernon town (Tolland, CT)","Waterbury town (New Haven, CT)",75
"Vernon town (Tolland, CT)","Norwich town (New London, CT)",73
"Vernon town (Tolland, CT)","Wallingford town (New Haven, CT)",68
"Vernon town (Tolland, CT)","Milford town (New Haven, CT)",67
"Vernon town (Tolland, CT)","Cromwell town (Middlesex, CT)",62
"Vernon town (Tolland, CT)","Fairfield town (Fairfield, CT)",57
"Vernon town (Tolland, CT)","Westport town (Fairfield, CT)",53
"Vernon town (Tolland, CT)","Bristol town (Hartford, CT)",53
"Vernon town (Tolland, CT)","Meriden town (New Haven, CT)",53
"Vernon town (Tolland, CT)","Killingly town (Windham, CT)",52
"Vernon town (Tolland, CT)","Stratford town (Fairfield, CT)",49
"Vernon town (Tolland, CT)","Groton town (New London, CT)",49
"Vernon town (Tolland, CT)","Coventry town (Tolland, CT)",48
"Vernon town (Tolland, CT)","Waterford town (New London, CT)",46
"Vernon town (Tolland, CT)","Greenwich town (Fairfield, CT)",43
"Vernon town (Tolland, CT)",All Other Locations,1836
"West Hartford town (Hartford, CT)","Hartford town (Hartford, CT)",7687
"West Hartford town (Hartford, CT)","West Hartford town (Hartford, CT)",4789
"West Hartford town (Hartford, CT)","Farmington town (Hartford, CT)",1846
"West Hartford town (Hartford, CT)","East Hartford town (Hartford, CT)",1038
"West Hartford town (Hartford, CT)","New Britain town (Hartford, CT)",925
"West Hartford town (Hartford, CT)","Bloomfield town (Hartford, CT)",905
"West Hartford town (Hartford, CT)","Windsor town (Hartford, CT)",783
"West Hartford town (Hartford, CT)","Bristol town (Hartford, CT)",635
"West Hartford town (Hartford, CT)","Manchester town (Hartford, CT)",609
"West Hartford town (Hartford, CT)","Newington town (Hartford, CT)",531
"West Hartford town (Hartford, CT)","Glastonbury town (Hartford, CT)",475
"West Hartford town (Hartford, CT)","Simsbury town (Hartford, CT)",463
"West Hartford town (Hartford, CT)","Avon town (Hartford, CT)",414
"West Hartford town (Hartford, CT)","Middletown town (Middlesex, CT)",412
"West Hartford town (Hartford, CT)","Rocky Hill town (Hartford, CT)",400
"West Hartford town (Hartford, CT)","Wethersfield town (Hartford, CT)",306
"West Hartford town (Hartford, CT)","Enfield town (Hartford, CT)",298
"West Hartford town (Hartford, CT)","Southington town (Hartford, CT)",246
"West Hartford town (Hartford, CT)","New Haven town (New Haven, CT)",244
"West Hartford town (Hartford, CT)","Berlin town (Hartford, CT)",221
"West Hartford town (Hartford, CT)","Plainville town (Hartford, CT)",218
"West Hartford town (Hartford, CT)","South Windsor town (Hartford, CT)",217
"West Hartford town (Hartford, CT)","Waterbury town (New Haven, CT)",217
"West Hartford town (Hartford, CT)","Stamford town (Fairfield, CT)",178
"West Hartford town (Hartford, CT)","Cheshire town (New Haven, CT)",178
"West Hartford town (Hartford, CT)","Meriden town (New Haven, CT)",169
"West Hartford town (Hartford, CT)","Wallingford town (New Haven, CT)",159
"West Hartford town (Hartford, CT)","Manhattan borough (New York, NY)",152
"West Hartford town (Hartford, CT)","Mansfield town (Tolland, CT)",148
"West Hartford town (Hartford, CT)","Danbury town (Fairfield, CT)",142
"West Hartford town (Hartford, CT)","Vernon town (Tolland, CT)",141
"West Hartford town (Hartford, CT)","East Windsor town (Hartford, CT)",126
"West Hartford town (Hartford, CT)","Windsor Locks town (Hartford, CT)",124
"West Hartford town (Hartford, CT)","Norwalk town (Fairfield, CT)",116
"West Hartford town (Hartford, CT)","Torrington town (Litchfield, CT)",115
"West Hartford town (Hartford, CT)","Cromwell town (Middlesex, CT)",107
"West Hartford town (Hartford, CT)","Hamden town (New Haven, CT)",98
"West Hartford town (Hartford, CT)","Shelton town (Fairfield, CT)",96
"West Hartford town (Hartford, CT)","Milford town (New Haven, CT)",90
"West Hartford town (Hartford, CT)","Canton town (Hartford, CT)",89
"West Hartford town (Hartford, CT)","North Haven town (New Haven, CT)",88
"West Hartford town (Hartford, CT)","Bridgeport town (Fairfield, CT)",83
"West Hartford town (Hartford, CT)","Westport town (Fairfield, CT)",76
"West Hartford town (Hartford, CT)","East Granby town (Hartford, CT)",70
"West Hartford town (Hartford, CT)","Trumbull town (Fairfield, CT)",65
"West Hartford town (Hartford, CT)","Granby town (Hartford, CT)",65
"West Hartford town (Hartford, CT)","Stratford town (Fairfield, CT)",64
"West Hartford town (Hartford, CT)","Greenwich town (Fairfield, CT)",61
"West Hartford town (Hartford, CT)","Fairfield town (Fairfield, CT)",60
"West Hartford town (Hartford, CT)","Suffield town (Hartford, CT)",46
"West Hartford town (Hartford, CT)",All Other Locations,1872
"Wethersfield town (Hartford, CT)","Hartford town (Hartford, CT)",3463
"Wethersfield town (Hartford, CT)","Wethersfield town (Hartford, CT)",945
"Wethersfield town (Hartford, CT)","Rocky Hill town (Hartford, CT)",693
"Wethersfield town (Hartford, CT)","Newington town (Hartford, CT)",628
"Wethersfield town (Hartford, CT)","West Hartford town (Hartford, CT)",551
"Wethersfield town (Hartford, CT)","East Hartford town (Hartford, CT)",530
"Wethersfield town (Hartford, CT)","Farmington town (Hartford, CT)",477
"Wethersfield town (Hartford, CT)","Glastonbury town (Hartford, CT)",439
"Wethersfield town (Hartford, CT)","New Britain town (Hartford, CT)",414
"Wethersfield town (Hartford, CT)","Manchester town (Hartford, CT)",332
"Wethersfield town (Hartford, CT)","Middletown town (Middlesex, CT)",331
"Wethersfield town (Hartford, CT)","Windsor town (Hartford, CT)",318
"Wethersfield town (Hartford, CT)","Bloomfield town (Hartford, CT)",273
"Wethersfield town (Hartford, CT)","Berlin town (Hartford, CT)",245
"Wethersfield town (Hartford, CT)","Meriden town (New Haven, CT)",189
"Wethersfield town (Hartford, CT)","New Haven town (New Haven, CT)",180
"Wethersfield town (Hartford, CT)","Bristol town (Hartford, CT)",179
"Wethersfield town (Hartford, CT)","South Windsor town (Hartford, CT)",167
"Wethersfield town (Hartford, CT)","Wallingford town (New Haven, CT)",159
"Wethersfield town (Hartford, CT)","Plainville town (Hartford, CT)",133
"Wethersfield town (Hartford, CT)","Enfield town (Hartford, CT)",126
"Wethersfield town (Hartford, CT)","Simsbury town (Hartford, CT)",106
"Wethersfield town (Hartford, CT)","Waterbury town (New Haven, CT)",105
"Wethersfield town (Hartford, CT)","Southington town (Hartford, CT)",93
"Wethersfield town (Hartford, CT)","Vernon town (Tolland, CT)",89
"Wethersfield town (Hartford, CT)","Cromwell town (Middlesex, CT)",88
"Wethersfield town (Hartford, CT)","Avon town (Hartford, CT)",87
"Wethersfield town (Hartford, CT)","Windsor Locks town (Hartford, CT)",75
"Wethersfield town (Hartford, CT)","Cheshire town (New Haven, CT)",68
"Wethersfield town (Hartford, CT)","Mansfield town (Tolland, CT)",65
"Wethersfield town (Hartford, CT)","East Windsor town (Hartford, CT)",63
"Wethersfield town (Hartford, CT)","North Haven town (New Haven, CT)",56
"Wethersfield town (Hartford, CT)","Hamden town (New Haven, CT)",55
"Wethersfield town (Hartford, CT)","Norwich town (New London, CT)",48
"Wethersfield town (Hartford, CT)","Windham town (Windham, CT)",43
"Wethersfield town (Hartford, CT)","Waterford town (New London, CT)",40
"Wethersfield town (Hartford, CT)","Shelton town (Fairfield, CT)",38
"Wethersfield town (Hartford, CT)","Orange town (New Haven, CT)",38
"Wethersfield town (Hartford, CT)","Torrington town (Litchfield, CT)",33
"Wethersfield town (Hartford, CT)","Groton town (New London, CT)",33
"Wethersfield town (Hartford, CT)","Milford town (New Haven, CT)",31
"Wethersfield town (Hartford, CT)","Colchester town (New London, CT)",30
"Wethersfield town (Hartford, CT)","Tolland town (Tolland, CT)",29
"Wethersfield town (Hartford, CT)","East Granby town (Hartford, CT)",26
"Wethersfield town (Hartford, CT)","New London town (New London, CT)",26
"Wethersfield town (Hartford, CT)","Branford town (New Haven, CT)",24
"Wethersfield town (Hartford, CT)","Canton town (Hartford, CT)",22
"Wethersfield town (Hartford, CT)","Stratford town (Fairfield, CT)",20
"Wethersfield town (Hartford, CT)","Portland town (Middlesex, CT)",20
"Wethersfield town (Hartford, CT)","Suffield town (Hartford, CT)",18
"Wethersfield town (Hartford, CT)",All Other Locations,537
"Windsor town (Hartford, CT)","Hartford town (Hartford, CT)",3613
"Windsor town (Hartford, CT)","Windsor town (Hartford, CT)",2115
"Windsor town (Hartford, CT)","Bloomfield town (Hartford, CT)",887
"Windsor town (Hartford, CT)","West Hartford town (Hartford, CT)",707
"Windsor town (Hartford, CT)","East Hartford town (Hartford, CT)",703
"Windsor town (Hartford, CT)","Farmington town (Hartford, CT)",546
"Windsor town (Hartford, CT)","Manchester town (Hartford, CT)",499
"Windsor town (Hartford, CT)","Windsor Locks town (Hartford, CT)",437
"Windsor town (Hartford, CT)","Enfield town (Hartford, CT)",324
"Windsor town (Hartford, CT)","East Windsor town (Hartford, CT)",315
"Windsor town (Hartford, CT)","New Britain town (Hartford, CT)",305
"Windsor town (Hartford, CT)","South Windsor town (Hartford, CT)",289
"Windsor town (Hartford, CT)","Newington town (Hartford, CT)",233
"Windsor town (Hartford, CT)","Stamford town (Fairfield, CT)",227
"Windsor town (Hartford, CT)","Simsbury town (Hartford, CT)",225
"Windsor town (Hartford, CT)","Glastonbury town (Hartford, CT)",205
"Windsor town (Hartford, CT)","Rocky Hill town (Hartford, CT)",173
"Windsor town (Hartford, CT)","Middletown town (Middlesex, CT)",166
"Windsor town (Hartford, CT)","Manhattan borough (New York, NY)",153
"Windsor town (Hartford, CT)","Wethersfield town (Hartford, CT)",152
"Windsor town (Hartford, CT)","Vernon town (Tolland, CT)",140
"Windsor town (Hartford, CT)","Norwalk town (Fairfield, CT)",138
"Windsor town (Hartford, CT)","Berlin town (Hartford, CT)",138
"Windsor town (Hartford, CT)","Bridgeport town (Fairfield, CT)",133
"Windsor town (Hartford, CT)","Avon town (Hartford, CT)",119
"Windsor town (Hartford, CT)","East Granby town (Hartford, CT)",117
"Windsor town (Hartford, CT)","New Haven town (New Haven, CT)",94
"Windsor town (Hartford, CT)","Granby town (Hartford, CT)",90
"Windsor town (Hartford, CT)","Westport town (Fairfield, CT)",86
"Windsor town (Hartford, CT)","Fairfield town (Fairfield, CT)",84
"Windsor town (Hartford, CT)","Greenwich town (Fairfield, CT)",84
"Windsor town (Hartford, CT)","Plainville town (Hartford, CT)",81
"Windsor town (Hartford, CT)","Wallingford town (New Haven, CT)",77
"Windsor town (Hartford, CT)","Meriden town (New Haven, CT)",76
"Windsor town (Hartford, CT)","Cromwell town (Middlesex, CT)",75
"Windsor town (Hartford, CT)","Mansfield town (Tolland, CT)",74
"Windsor town (Hartford, CT)","Waterbury town (New Haven, CT)",73
"Windsor town (Hartford, CT)","Bristol town (Hartford, CT)",69
"Windsor town (Hartford, CT)","Stratford town (Fairfield, CT)",67
"Windsor town (Hartford, CT)","Suffield town (Hartford, CT)",63
"Windsor town (Hartford, CT)","Danbury town (Fairfield, CT)",59
"Windsor town (Hartford, CT)","Shelton town (Fairfield, CT)",54
"Windsor town (Hartford, CT)","Torrington town (Litchfield, CT)",54
"Windsor town (Hartford, CT)","North Haven town (New Haven, CT)",54
"Windsor town (Hartford, CT)","Tolland town (Tolland, CT)",46
"Windsor town (Hartford, CT)","Milford town (New Haven, CT)",44
"Windsor town (Hartford, CT)","Cheshire town (New Haven, CT)",43
"Windsor town (Hartford, CT)","Windham town (Windham, CT)",40
"Windsor town (Hartford, CT)","Southington town (Hartford, CT)",38
"Windsor town (Hartford, CT)","Norwich town (New London, CT)",32
"Windsor town (Hartford, CT)",All Other Locations,1428
"Windsor Locks town (Hartford, CT)","Windsor Locks town (Hartford, CT)",1006
"Windsor Locks town (Hartford, CT)","Hartford town (Hartford, CT)",811
"Windsor Locks town (Hartford, CT)","Windsor town (Hartford, CT)",762
"Windsor Locks town (Hartford, CT)","Enfield town (Hartford, CT)",399
"Windsor Locks town (Hartford, CT)","East Windsor town (Hartford, CT)",387
"Windsor Locks town (Hartford, CT)","Bloomfield town (Hartford, CT)",304
"Windsor Locks town (Hartford, CT)","East Hartford town (Hartford, CT)",247
"Windsor Locks town (Hartford, CT)","South Windsor town (Hartford, CT)",204
"Windsor Locks town (Hartford, CT)","Manchester town (Hartford, CT)",192
"Windsor Locks town (Hartford, CT)","Farmington town (Hartford, CT)",180
"Windsor Locks town (Hartford, CT)","West Hartford town (Hartford, CT)",153
"Windsor Locks town (Hartford, CT)","East Granby town (Hartford, CT)",150
"Windsor Locks town (Hartford, CT)","Suffield town (Hartford, CT)",139
"Windsor Locks town (Hartford, CT)","Stamford town (Fairfield, CT)",117
"Windsor Locks town (Hartford, CT)","Simsbury town (Hartford, CT)",92
"Windsor Locks town (Hartford, CT)","Glastonbury town (Hartford, CT)",89
"Windsor Locks town (Hartford, CT)","Newington town (Hartford, CT)",86
"Windsor Locks town (Hartford, CT)","Vernon town (Tolland, CT)",85
"Windsor Locks town (Hartford, CT)","New Britain town (Hartford, CT)",68
"Windsor Locks town (Hartford, CT)","Norwalk town (Fairfield, CT)",67
"Windsor Locks town (Hartford, CT)","Rocky Hill town (Hartford, CT)",65
"Windsor Locks town (Hartford, CT)","Manhattan borough (New York, NY)",61
"Windsor Locks town (Hartford, CT)","Avon town (Hartford, CT)",54
"Windsor Locks town (Hartford, CT)","Middletown town (Middlesex, CT)",51
"Windsor Locks town (Hartford, CT)","Fairfield town (Fairfield, CT)",44
"Windsor Locks town (Hartford, CT)","Bridgeport town (Fairfield, CT)",43
"Windsor Locks town (Hartford, CT)","New Haven town (New Haven, CT)",41
"Windsor Locks town (Hartford, CT)","Meriden town (New Haven, CT)",40
"Windsor Locks town (Hartford, CT)","Wethersfield town (Hartford, CT)",38
"Windsor Locks town (Hartford, CT)","Bristol town (Hartford, CT)",37
"Windsor Locks town (Hartford, CT)","Greenwich town (Fairfield, CT)",34
"Windsor Locks town (Hartford, CT)","Westport town (Fairfield, CT)",34
"Windsor Locks town (Hartford, CT)","Granby town (Hartford, CT)",34
"Windsor Locks town (Hartford, CT)","Berlin town (Hartford, CT)",33
"Windsor Locks town (Hartford, CT)","Danbury town (Fairfield, CT)",32
"Windsor Locks town (Hartford, CT)","Waterbury town (New Haven, CT)",32
"Windsor Locks town (Hartford, CT)","Wallingford town (New Haven, CT)",31
"Windsor Locks town (Hartford, CT)","Plainville town (Hartford, CT)",28
"Windsor Locks town (Hartford, CT)","Southington town (Hartford, CT)",24
"Windsor Locks town (Hartford, CT)","Cromwell town (Middlesex, CT)",23
"Windsor Locks town (Hartford, CT)","Mansfield town (Tolland, CT)",23
"Windsor Locks town (Hartford, CT)","Canton town (Hartford, CT)",22
"Windsor Locks town (Hartford, CT)","Torrington town (Litchfield, CT)",22
"Windsor Locks town (Hartford, CT)","Ellington town (Tolland, CT)",20
"Windsor Locks town (Hartford, CT)","North Haven town (New Haven, CT)",19
"Windsor Locks town (Hartford, CT)","Stafford town (Tolland, CT)",19
"Windsor Locks town (Hartford, CT)","Stratford town (Fairfield, CT)",18
"Windsor Locks town (Hartford, CT)","Somers town (Tolland, CT)",17
"Windsor Locks town (Hartford, CT)","Milford town (New Haven, CT)",16
"Windsor Locks town (Hartford, CT)","Shelton town (Fairfield, CT)",15
"Windsor Locks town (Hartford, CT)",All Other Locations,630
